Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Arvydas Sabonis,,9.7,8.4,7.5,7.1,5.8,4.9,3.7,NA,NA,NA,NA
Jonas Valančiūnas,90.8,8.2,7.9,7.6,6.9,6.7,4.2,3.9,NA,NA,NA,NA
Mehmet Okur,85.8,9.3,8.8,7.4,7,6.7,5.9,5.6,3.8,0.2,0,NA
Arnie Risen,84.6,10.6,9.3,7.8,6.8,5.8,4.6,3.9,2.7,2.6,1.8,NA
Andre Drummond,83.0,10.3,10,9.9,7.7,7.4,6.7,4.5,NA,NA,NA,NA
Jim Eakins,81.8,9,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9,0.9,NA
Swen Nater,81.6,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,1.2,-0.1
Chuck Share,81.0,8.6,8.1,6.7,4.7,4.2,4,3.3,1.3,NA,NA,NA
Emeka Okafor,80.4,8.2,7.1,6.5,5.8,5.5,4.5,4,1.7,1,1,NA
Steven Adams,80.0,9.7,9.1,6.5,6.5,4.1,2.9,NA,NA,NA,NA,NA
Red Rocha,79.7,7.8,7.2,7,6.5,5.1,5,4.6,3.6,1,NA,NA
