Season,Team,Lg,Salary
2012-13,Portland Trail Blazers,NBA,"$3,065,040"
2013-14,Portland Trail Blazers,NBA,"$3,202,920"
2014-15,Portland Trail Blazers,NBA,"$3,340,920"
2015-16,Portland Trail Blazers,NBA,"$4,236,287"
2016-17,Portland Trail Blazers,NBA,"$24,328,425"
2017-18,Portland Trail Blazers,NBA,"$26,153,057"
2018-19,Portland Trail Blazers,NBA,"$27,977,689"
Career,(may be incomplete),,"$92,304,338"
