Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Damian Lillard,,12.6,12.1,10.6,10.4,9.6,9.2,5.8
Magic Johnson,90.6,12.9,12.7,12.5,12.1,10.5,10.2,6.4
Reggie Miller,89.9,12.5,12.1,11.7,11.3,11,6.5,4.2
Terry Porter,89.9,13,11.7,10.6,9.8,9.2,6.8,2.3
George Gervin,89.1,12,11.4,10.5,10,9.3,7.3,1.6
Kevin Johnson,89.0,12.7,12.2,11.6,10,8.7,5.1,4
Sidney Moncrief,88.6,13.4,13.2,12.7,11.7,11.2,9.9,4.9
Clyde Drexler,86.5,13.2,12.6,11.6,10.3,7.5,6.7,2.4
Jimmy Jones,86.4,16.1,10.5,10.3,9.3,9.3,8.8,8.3
Manu Ginóbili,84.9,11.1,11,10.6,9.1,8.8,5,4.2
Gary Payton,83.5,12.9,11.7,11.5,9.3,7.8,3.9,3.4
