,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1948-49,25,TOT,BAA,,6,,14,15,,,6,20
1948-49,25,NYK,BAA,,6,,14,15,,,6,20
1949-50,26,NYK,NBA,,6,9,1,2,,3,3,13
1950-51,27,NYK,NBA,,6,,4,6,,,6,16
1951-52,28,NYK,NBA,,4,,8,8,,,6,15
1952-53,29,TOT,NBA,,5,,4,6,,,5,14
1952-53,29,BLB,NBA,,5,,4,6,,,5,14
Career,,,TOT,,6,,14,15,,,6,20
,,,NBA,,6,,8,8,,,6,16
,,,BAA,,6,,14,15,,,6,20
,,,,,,,,,,,,
4 Seasons,,NYK,NBA,,6,,14,15,,,6,20
1 Season,,BLB,NBA,,5,,4,6,,,5,14
