Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Ray Lumpp,,6.7,3.3,2,1.9,1.7
Brian Shaw,88.0,5.9,3.2,2.2,1.8,1
Aaron McKie,85.0,5.3,3.5,2,1.6,1.4
Jerry Stackhouse,83.6,7.3,4.7,2.1,1.9,1.2
Nate Robinson,83.4,5.9,3.2,3.2,2.2,1.5
Šarūnas Marčiulionis,82.6,6.4,3.8,3,2.5,2.3
Al Skinner,82.4,4.9,3.3,2.1,1.8,1.2
J.J. Redick,81.9,6.5,4.5,2.3,1.7,0.5
Gerald Henderson,81.5,5.3,3.6,2.3,1.7,1.3
Rodney Hood,81.0,6,2.7,2.6,2.6,2.2
Eric Snow,81.0,6.1,3.8,1.9,1.3,0.5
