Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Ray Lumpp,,6.7,3.3,2,1.9,1.7,NA,NA,NA,NA
Al Skinner,82.2,4.9,3.3,2.1,1.8,1.2,0,NA,NA,NA
Rodney Hood,81.0,6,2.7,2.6,2.6,2.2,NA,NA,NA,NA
Tyler Johnson,79.8,5.8,4.2,2.3,2,0.8,NA,NA,NA,NA
Marcus Smart,77.9,5.3,3.2,2.9,2.9,1.9,NA,NA,NA,NA
Mitchell Wiggins,76.5,5.4,3.5,3.3,2,1.2,-0.1,NA,NA,NA
Tim Hardaway,76.0,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA,NA
Bojan Bogdanović,74.8,6.8,5.4,2.9,2.4,0.9,NA,NA,NA,NA
Derek Smith,74.3,8,2.9,2.6,1.6,1.5,0.9,0.8,0,0
Larry Miller,74.2,6.2,3.4,3.2,3,2.4,1.3,0,NA,NA
Elfrid Payton,74.2,4.4,2.8,2.3,2.2,1.5,NA,NA,NA,NA
