Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Al Horford,,10.9,10.1,9.4,8.8,8.7,7.8,7.5,6.8,6.3,5.5,2.8,1.3
Marc Gasol,90.3,11.5,10.2,8.4,8.2,7.9,7.7,6.4,6,5.6,4,3.7,NA
Alonzo Mourning,89.4,12.9,9.9,9.4,8.4,8.2,7.9,7.5,7.4,6.3,1.2,0.9,0.6
Robert Parish,88.8,10.9,10.8,10.5,10,9.2,9.2,9,7.1,6.4,4.8,4.6,4
Dikembe Mutombo,87.9,11.3,10.8,9.9,9.6,9.4,8.8,8.7,8.1,7.9,7.6,4.8,0.8
Bill Laimbeer,87.5,10.8,10.5,10.1,9.8,9.2,9,8.8,8.5,8,5.4,4.9,4.7
Dave Cowens,85.7,12,10.8,10.7,10.4,9.5,9.3,6.4,5.4,4.8,4.4,2.6,NA
Tyson Chandler,85.2,10,9.5,9.4,9.3,8.3,7.9,5.4,3.9,3.4,2.9,1.9,1.8
Brad Miller,85.0,10,9.6,9.1,8.6,8.3,6.5,5.1,4,3.8,3.4,2.7,2.1
Jack Sikma,84.3,12.6,9.8,9.7,9.4,8.8,8.6,8.3,8.1,8,7.8,7.4,5.4
Clyde Lovellette,83.6,10.1,9,8.5,8.5,8.2,8.1,6.5,5.2,3.6,1.6,1.3,NA
