,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2007-08,21,ATL,NBA,C,81,2540,.499,7.3,.993,.412,.251,.136,.193,.007,.502,.640,.429,.429,.357,.000,.676,.108,68,,.000,,1,0
2008-09,22,ATL,NBA,C,67,2242,.525,7.9,.998,.337,.281,.195,.185,.002,.526,.705,.455,.448,.391,.000,.663,.131,69,,.000,,0,0
2009-10,23,ATL,NBA,C,81,2845,.551,7.3,.999,.360,.305,.170,.164,.001,.551,.721,.465,.424,.468,1.000,.652,.105,86,1.000,1.000,1.000,0,0
2010-11,24,ATL,NBA,C,77,2704,.557,10.8,.996,.231,.244,.150,.370,.004,.557,.761,.449,.486,.531,.500,.695,.068,60,.500,.500,1.000,0,0
2011-12,25,ATL,NBA,C,11,348,.553,8.9,.990,.369,.243,.087,.291,.010,.559,.684,.600,.444,.400,.000,.579,.117,10,,.000,,0,0
2012-13,26,ATL,NBA,C,74,2756,.543,9.5,.994,.350,.207,.114,.324,.006,.544,.752,.434,.446,.423,.500,.771,.098,101,.667,.500,.667,0,0
2013-14,27,ATL,NBA,C,29,958,.567,10.2,.974,.310,.198,.131,.336,.026,.572,.754,.470,.491,.496,.364,.709,.079,32,1.000,1.000,.364,0,0
2014-15,28,ATL,NBA,C,76,2318,.538,10.6,.963,.286,.213,.111,.352,.037,.547,.750,.408,.458,.494,.306,.789,.088,81,.909,.806,.379,0,0
2015-16,29,ATL,NBA,C,82,2631,.505,12.3,.756,.300,.136,.089,.231,.244,.557,.745,.385,.355,.492,.344,.776,.084,84,1.000,.227,.259,0,0
2016-17,30,BOS,NBA,C,68,2193,.473,13.4,.698,.213,.220,.127,.136,.302,.524,.708,.472,.392,.450,.355,.590,.052,41,.977,.157,.368,0,0
2017-18,31,BOS,NBA,C,72,2277,.489,12.8,.700,.198,.255,.143,.104,.300,.514,.738,.438,.380,.462,.429,.572,.062,45,.948,.159,.528,0,0
2018-19,32,BOS,NBA,C,68,1973,.535,13.3,.719,.242,.207,.119,.151,.281,.604,.743,.540,.535,.523,.360,.752,.072,47,1.000,.094,.263,1,0
2019-20,33,PHI,NBA,C,60,1848,.442,15.6,.596,.180,.176,.118,.122,.404,.513,.763,.374,.442,.413,.337,.605,.035,21,.978,.121,.281,0,0
Career,,,NBA,,846,27633,.520,10.9,.869,.286,.223,.130,.229,.131,.544,.729,.446,.439,.467,.361,.700,.082,745,.974,.182,.358,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,ATL,NBA,,578,19342,.535,9.7,.952,.320,.225,.132,.274,.048,.545,.727,.440,.442,.468,.340,.721,.094,591,.972,.324,.337,1,0
3 seasons,,BOS,NBA,,208,6443,.498,13.2,.705,.217,.227,.130,.130,.295,.547,.729,.479,.429,.480,.382,.642,.062,133,.973,.139,.409,1,0
1 season,,PHI,NBA,,60,1848,.442,15.6,.596,.180,.176,.118,.122,.404,.513,.763,.374,.442,.413,.337,.605,.035,21,.978,.121,.281,0,0
