Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Mike Wilks,,0.8,0.7,0.6,0.5,0.2,0,-0.3,NA
Mitchell Butler,61.5,1.1,0.6,0.5,0.5,0.3,0.1,0.1,-0.2
Rodney Buford,61.1,0.8,0.8,0.8,0.6,-0.2,NA,NA,NA
MarShon Brooks,60.7,1.3,0.8,0.7,0.4,0.1,NA,NA,NA
Reggie Jordan,60.1,1.2,0.8,0.6,0.4,0.3,-0.2,NA,NA
Morlon Wiley,58.5,1.1,0.9,0.5,0.2,0.1,0.1,-0.2,NA
Shawn Respert,58.2,0.8,0.7,0.5,0.1,NA,NA,NA,NA
JaKarr Sampson,55.8,0.8,0.6,0.5,0.1,NA,NA,NA,NA
Pearl Washington,52.3,0.7,0.7,0.5,NA,NA,NA,NA,NA
Keith McLeod,51.5,0.8,0.6,0.3,0.2,NA,NA,NA,NA
Steve Alford,50.6,1.4,0.9,0.6,0.3,NA,NA,NA,NA
