,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2011-12,24,DEN,NBA,C,7,181,,,,2%,98%,+5.9,+12.1,1,2,11,1,12,0,12,1,8
2012-13,25,DEN,NBA,C,6,112,,,,,100%,+0.4,+8.5,1,3,9,4,8,1,0,2,3
2015-16,28,DAL,NBA,C,2,14,,,,,100%,+4.0,+25.3,2,0,1,1,2,0,0,0,0
2016-17,29,GSW,NBA,C,16,149,,,,,100%,+21.8,+10.3,4,2,18,2,10,0,11,4,6
2017-18,30,GSW,NBA,C,13,158,,,,,100%,+13.0,+3.2,1,1,8,1,4,0,9,1,0
Career,,,NBA,,44,614,,,,1%,99%,+10.5,+9.0,9,8,47,9,36,1,32,8,17
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,GSW,NBA,,29,307,,,,,100%,+17.3,+6.7,5,3,26,3,14,0,20,5,6
2 seasons,,DEN,NBA,,13,293,,,,1%,99%,+3.8,+10.7,2,5,20,5,20,1,12,3,11
1 season,,DAL,NBA,,2,14,,,,,100%,+4.0,+25.3,2,0,1,1,2,0,0,0,0
