Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Henry Bibby,,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1,1
Randy Foye,91.7,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1
Carlos Delfino,90.8,4.8,4,3.5,3.5,2.9,2.4,1,0.5,NA
Eric Gordon,89.7,5.3,4.6,3.8,3.2,2.9,2.5,2.1,1.1,0.7
Bill Hanzlik,88.3,4.7,4.1,3.5,2.4,2.2,1.9,1.3,1,0.7
Dell Curry,88.2,5,3.4,3.3,3.2,2.7,2,1.8,0.9,0.5
Jodie Meeks,87.8,5.1,4.5,4.1,3.1,3,2,1.1,0.9,0.1
Johnny Egan,87.1,5.1,3.6,3.2,3.1,3.1,2,1.4,1.3,0
Maurice Evans,86.8,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1
Vernon Maxwell,86.5,5.9,3.9,3.9,3.5,2.8,1.9,1.5,0.9,0
Darnell Valentine,86.5,5,3.7,3.4,3.1,1.7,1.7,1.5,1.1,1
