Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Brad Sellers,,3.3,3.3,2.6,0.4,0.2,0,NA,NA
Joe Strawder,78.8,4.3,3.6,3,NA,NA,NA,NA,NA
Willie Sojourner,78.1,3.5,3,2.4,1.9,NA,NA,NA,NA
Willy Hernangómez,76.9,3.4,2.6,1.8,NA,NA,NA,NA,NA
Erwin Mueller,76.6,3.5,3.2,2.5,0.9,0.6,-0.1,-0.5,-0.8
George Peeples,76.2,4.1,3.2,2.1,1.5,0.2,0,NA,NA
Boban Marjanović,75.2,3.4,3,1.7,1.5,NA,NA,NA,NA
Victor Alexander,74.6,3,2.5,2.3,1.1,-0.1,NA,NA,NA
Bob Hopkins,74.4,3.5,2.7,1.9,1.4,NA,NA,NA,NA
Travis Knight,73.7,3.3,3,1.1,0.6,0.2,-0.1,-0.3,NA
Miles Plumlee,72.1,4,2.6,2.2,0.9,0.5,0.5,0,NA
