Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Brad Sellers,,3.3,3.3,2.6,0.4,0.2,0
Nazr Mohammed,92.1,3.7,3.3,2.5,0.4,0,-0.1
Hank Finkel,83.5,3.4,3.4,2.3,1,0.9,0
Jake Voskuhl,82.7,3.3,2.7,2.5,1,0.6,0
Ekpe Udoh,82.0,3.2,2.7,2.1,0.7,0.3,0
Erwin Mueller,80.9,3.5,3.2,2.5,0.9,0.6,-0.8
Luc Longley,80.4,3.5,3.1,2.2,1.8,0.2,0.2
Joe Strawder,78.8,4.3,3.6,3,NA,NA,NA
Willie Sojourner,78.1,3.5,3,2.4,1.9,NA,NA
Ian Mahinmi,77.9,3.4,3.3,2.3,1.8,0.7,0.2
Chris Dudley,77.5,3.4,2.2,2.2,1,0.2,0.1
