Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Dick O'Keefe,,2.1,0.5,-0.1,-0.8,NA
Win Wilfong,59.9,2.1,0.6,0.2,-0.3,NA
Jerry Eaves,57.6,2,0.7,0,-0.1,NA
Travis Mays,53.6,2.1,0.3,0,NA,NA
Danuel House,53.5,2.3,0.6,0,NA,NA
Trajan Langdon,49.5,2,0.6,0.3,NA,NA
Kedrick Brown,46.6,2,0.5,0.4,0.1,NA
Alexey Shved,45.6,2.2,0.8,0.2,NA,NA
Stan Noszka,43.5,1.8,0.4,-0.2,NA,NA
Kevin Williams,39.8,1.9,0.6,0.1,0.1,-0.1
Bubbles Hawkins,39.6,1.9,0.6,0.3,0.1,NA
