Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Dick O'Keefe,,2.1,0.5,-0.1,-0.8
Em Bryant,77.9,2,0.5,0.1,-0.7
Win Wilfong,59.9,2.1,0.6,0.2,-0.3
John Lucas III,58.3,2.2,0.6,0,-0.1
Jerry Eaves,57.6,2,0.7,0,-0.1
Donald Sloan,54.7,2,0.3,0.1,-0.3
Travis Mays,53.6,2.1,0.3,0,NA
Danuel House,53.5,2.3,0.6,0,NA
Trajan Langdon,49.5,2,0.6,0.3,NA
Kedrick Brown,46.6,2,0.5,0.4,0.1
Alexey Shved,45.6,2.2,0.8,0.2,NA
