Season,Team,Lg,Salary
1995-96,Detroit Pistons,NBA,"$714,000"
1996-97,Detroit Pistons,NBA,"$821,000"
1997-98,Detroit Pistons,NBA,"$928,080"
1998-99,Philadelphia 76ers,NBA,"$6,000,000"
1999-00,Philadelphia 76ers,NBA,"$7,031,250"
2000-01,Philadelphia 76ers,NBA,"$7,800,000"
2001-02,Atlanta Hawks,NBA,"$9,667,969"
2002-03,Atlanta Hawks,NBA,"$9,375,000"
2003-04,Atlanta Hawks,NBA,"$10,156,250"
2004-05,Portland Trail Blazers,NBA,"$10,937,500"
2005-06,Portland Trail Blazers,NBA,"$11,666,666"
2006-07,Boston Celtics,NBA,"$11,666,666"
2007-08,Minnesota Timberwolves,NBA,"$11,666,666"
2008-09,Philadelphia 76ers,NBA,"$1,262,275"
2009-10,Charlotte Bobcats,NBA,"$1,306,455"
2010-11,Los Angeles Lakers,NBA,"$1,352,181"
Career,(may be incomplete),,"$102,351,958"
