Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Michael Olowokandi,,1.6,1.2,1.2,0.3,-0.1,-0.2,-0.3,-0.4,-0.8,NA
Clifford Rozier,51.0,1.6,1.3,1.1,-0.1,NA,NA,NA,NA,NA,NA
Jahlil Okafor,46.0,2.2,1.2,1.2,0.6,NA,NA,NA,NA,NA,NA
Jelani McCoy,45.1,1.5,1.4,1.1,1,0.1,0,0,0,NA,NA
Charlie Tyra,43.1,2.3,1.5,1.1,0.2,-0.2,NA,NA,NA,NA,NA
Jawann Oldham,42.8,1.3,1.2,1,0.5,0.3,0,0,0,0,0
George Nostrand,39.7,2,2,1.3,0.4,NA,NA,NA,NA,NA,NA
Joffrey Lauvergne,37.6,2.3,1.5,1.3,0.1,NA,NA,NA,NA,NA,NA
Luther Rackley,35.9,1.9,1.8,1.3,0.8,0.1,NA,NA,NA,NA,NA
Predrag Drobnjak,31.7,2.4,1.6,1,0.7,NA,NA,NA,NA,NA,NA
Jerome James,31.0,1.2,0.9,0.8,0.7,0.1,0,-0.1,-0.2,-0.5,NA
