Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Larry Wright,,3.5,2.7,1.8,1.4,1.2,0,NA,NA
Gary Neal,90.7,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA
George Dempsey,89.8,3.5,2.2,2.1,1.5,1.4,NA,NA,NA
Langston Galloway,88.4,3.4,3.3,1.4,1.3,1.3,NA,NA,NA
Ron Lee,87.3,3.8,2.8,1.6,1.4,0.8,0.3,NA,NA
Jordan Clarkson,86.4,3,2.4,2.1,1.8,1.2,NA,NA,NA
Haywoode Workman,84.4,2.8,2.5,1.9,1.6,1.4,0.3,0.1,0.1
Sonny Hertzberg,83.2,4,2.5,2.3,1.4,0.7,NA,NA,NA
Brandon Knight,82.6,4.5,2.8,1.7,1.3,1.1,0.3,0,NA
Al Ferrari,82.3,3.3,1.9,1.4,1.4,0.9,0,NA,NA
Bill Gabor,81.4,3.5,2.9,2.8,1.5,0.5,0,NA,NA
