Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Billy Knight,,10.7,8.4,8.3,7.1,6,5.8,5.8,4.3,3.7,3.4,0.4
Ron Boone,92.5,9.7,8.3,8.1,6.2,5.9,5.8,5.1,4,2.8,2.6,0.4
Doc Rivers,92.5,10.3,8.5,8.3,6.5,6.3,6.3,4.2,4.2,4,3.9,1.5
Larry Costello,92.1,9.2,8.6,8.5,8,5.9,5.7,5.7,3.5,3.4,2.5,0.2
Walter Davis,92.1,10.1,9.4,8.3,8.1,7.1,6.2,5.8,4.2,3.8,2.7,0.6
Mike Bibby,91.5,9.3,8.5,8.4,6.9,6.3,5.6,5.6,5.3,4.4,2.1,1.3
Gail Goodrich,91.2,12.3,8.1,7.8,6.7,6.4,6.3,5.5,5.1,4.4,3.6,0.7
Kevin Martin,91.2,10.2,9.5,8.4,7,5.5,5.3,4.7,4.2,3.3,1.9,0.1
Richie Guerin,91.0,12.1,8.4,7.4,7.2,6.3,5.7,5.7,5.4,4.7,3.5,1.7
Joe Dumars,90.9,9.9,9.1,8.7,8.2,7,6,5.9,4.4,4.2,3.2,1.7
Lenny Wilkens,90.4,10.1,9,8.1,7.6,7.6,5.7,5,4.9,4.9,4,0.4
