Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Rik Smits,,7.8,7.2,6.6,6.1,5,4.3,3.8,3.4,3.4,3.3,2.9,2.7
Elden Campbell,91.2,8.2,7.6,7,6.4,5.5,4.7,4.3,4.2,3.8,3.3,2.6,1.1
Caldwell Jones,89.8,8.1,7.6,6.2,5.5,5.2,5,4.4,4.1,3.9,3.1,2.5,0.9
Samuel Dalembert,89.0,6.9,6.9,6.2,5.2,4.9,4.1,4,3.9,3.6,2.9,2.2,0.3
Tree Rollins,88.6,9.2,7.3,6.4,6.4,5.5,5,4.9,4.1,3.8,3.4,2.6,1
Mychal Thompson,88.2,8.2,6.9,6.1,5.4,5.3,5.2,4.7,4.6,4.4,3.7,2.6,2.1
Red Kerr,85.7,8.7,7.8,7.7,5.8,5.4,5,4.9,4.6,3.9,3.8,3.1,0.9
Sam Lacey,85.3,7.7,7.4,6.5,5.6,5.6,5,4.3,4,2.7,1.2,0.6,0.3
James Edwards,84.9,7.1,7,6.7,4.5,4.4,4.3,3.7,3,2.8,1.5,1.4,1
Darryl Dawkins,84.4,7.9,6.4,6.3,5.7,4.6,4.4,4,2.9,2.1,2.1,0.1,0.1
Mike Gminski,84.3,9.2,7,6.5,6.1,6,5.4,4.3,4,2.9,1.8,1.5,0.5
