Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1958-59,22,CIN,NBA,PF,68,NA,1252,200,562,0.356,159,204,0.779,339,56,114,559
1959-60,23,DET,NBA,PF,73,NA,1244,271,617,0.439,165,204,0.809,397,43,188,707
1960-61,24,DET,NBA,C,28,NA,308,53,135,0.393,39,47,0.83,94,17,50,145
1961-62,25,TOT,NBA,PF-C,21,NA,288,51,115,0.443,35,46,0.761,77,16,33,137
1961-62,25,CHP,NBA,PF,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-62,25,STL,NBA,C,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Career,NA,,NBA,,190,NA,3092,575,1429,0.402,398,501,0.794,907,132,385,1548
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DET,NBA,,101,NA,1552,324,752,0.431,204,251,0.813,491,60,238,852
1 season,NA,CIN,NBA,,68,NA,1252,200,562,0.356,159,204,0.779,339,56,114,559
1 season,NA,CHP,NBA,,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,STL,NBA,,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
