Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Archie Dees,,3.7,0.7,0.4,NA,NA,NA,NA
Richard Dumas,86.0,3.9,0.3,0.3,NA,NA,NA,NA
Tom Marshall,84.2,3.5,0.7,0.2,-0.3,NA,NA,NA
Dick Schulz,75.5,2.9,0.8,0.6,0,NA,NA,NA
Harthorne Wingo,75.4,3.9,1.4,0.9,0,NA,NA,NA
Dennis Hamilton,73.8,2.8,0.7,0.5,0,NA,NA,NA
Kenny Fields,72.2,2.8,0.7,0.7,0,NA,NA,NA
Derrick Jones,72.1,2.9,1.1,0.4,NA,NA,NA,NA
Paul Graham,71.9,3.6,1.9,0.2,NA,NA,NA,NA
Giff Roux,71.2,3.4,0.8,-0.5,NA,NA,NA,NA
Reggie Williams,70.2,3.7,1.7,0.3,0.3,0.2,0.2,0
