Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Archie Dees,,3.7,0.7,0.4,NA
Barney Cable,86.9,3.3,0.7,0.4,0.1
Richard Dumas,86.0,3.9,0.3,0.3,NA
Tom Marshall,84.2,3.5,0.7,0.2,-0.3
Matt Barnes,82.1,3.7,1,0.7,0.4
Lee Nailon,79.6,3.5,0.9,0.7,0.3
DeMarre Carroll,79.2,3.1,0.5,0.5,0.1
Mike Sanders,78.1,3.9,0.8,0.8,0.6
Greg Kelser,76.6,3.9,1.4,0.8,0
Darius Miller,76.5,3,0.8,0.5,-0.1
Dick Schulz,75.5,2.9,0.8,0.6,0
