Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,26,AND,NBA,NA,34,NA,NA,93,309,0.301,80,104,0.769,NA,64,72,266
Career,NA,,NBA,NA,34,NA,NA,93,309,0.301,80,104,0.769,NA,64,72,266
