,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,23,MIN,NBA,SF,4,143,,,99%,1%,,-8.3,-1.7,3,5,4,2,6,0,23,3,3
2001-02,24,MIN,NBA,SF,3,131,,17%,82%,1%,,-10.5,+4.7,5,1,2,1,6,0,13,0,1
2002-03,25,MIN,NBA,SF,6,252,,9%,91%,,,-9.1,-18.1,4,8,8,3,12,0,30,2,7
2003-04,26,MIN,NBA,SF,12,298,,,83%,17%,,+2.5,+4.1,9,5,8,8,9,0,44,4,8
2007-08,30,CLE,NBA,SF,13,374,,90%,10%,,,+0.4,-5.8,3,5,16,1,7,1,40,0,2
2008-09,31,CLE,NBA,SF,12,154,,31%,63%,6%,,-10.8,-27.5,1,2,5,4,3,1,17,1,1
Career,,,NBA,,50,1352,,32%,64%,5%,,-4.2,-6.9,25,26,43,19,43,2,167,10,22
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,CLE,NBA,,25,528,,73%,25%,2%,,-2.8,-12.1,4,7,21,5,10,2,57,1,3
4 seasons,,MIN,NBA,,25,824,,5%,88%,6%,,-5.0,-3.6,21,19,22,14,33,0,110,9,19
