Season,Team,Lg,Salary
1999-00,Minnesota Timberwolves,NBA,"$2,011,440"
2000-01,Minnesota Timberwolves,NBA,"$2,162,280"
2001-02,Minnesota Timberwolves,NBA,"$2,313,240"
2002-03,Minnesota Timberwolves,NBA,"$2,933,187"
2003-04,Minnesota Timberwolves,NBA,"$8,000,000"
2004-05,Minnesota Timberwolves,NBA,"$9,000,000"
2005-06,Minnesota Timberwolves,NBA,"$10,000,000"
2006-07,Boston Celtics,NBA,"$11,775,000"
2007-08,Cleveland Cavaliers,NBA,"$12,775,000"
2008-09,Cleveland Cavaliers,NBA,"$13,775,000"
Career,(may be incomplete),,"$74,745,147"
