Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Cody Zeller,,6.3,5.6,3.9,3.8,2.6,1.9
Tony Battie,90.2,6.2,5.8,3.8,3.3,2.3,0.5
Herb Williams,90.0,6.2,4.7,4.6,3.5,2.8,2.2
Steve Hawes,89.5,6.1,6,5.4,3.4,2.5,1.9
Rick Mahorn,88.6,6.2,5.9,4.8,3.6,1.8,1.3
Gorgui Dieng,88.4,5.9,5.7,4.9,2.9,2.8,2.2
Alton Lister,88.4,5.5,5.3,4.1,4,3.8,1.7
Greg Ostertag,87.8,5.9,4.2,3.8,3.8,2.2,1.4
LaSalle Thompson,87.2,5.6,5.3,4.9,4.5,2.3,1.9
Roy Hibbert,86.6,6.2,6.1,5.4,4.1,3.6,2.1
Connie Simmons,86.4,6.1,5.3,3.3,2.6,2.4,1.1
