Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Cody Zeller,,6.3,5.6,3.9,3.8,2.6,1.9,NA,NA,NA,NA
Gorgui Dieng,88.4,5.9,5.7,4.9,2.9,2.8,2.2,NA,NA,NA,NA
Tim McCormick,86.8,6,4.6,3.9,3.8,2,1.1,0.2,-0.1,NA,NA
Jack Nichols,84.4,6.7,4.4,4.3,4.1,2.5,1.6,1,0.3,NA,NA
Nenad Krstić,84.1,5.4,4.4,4.2,4,1.9,1.7,-0.1,NA,NA,NA
Kelly Olynyk,84.0,5.5,4.7,4.1,4.1,3.6,2.9,NA,NA,NA,NA
Gene Moore,83.6,6.8,5.7,5,4.5,1.9,0.8,0,NA,NA,NA
Lloyd Neal,83.6,4.8,4.7,4.3,4.3,2.9,1.8,-0.1,NA,NA,NA
Connie Simmons,80.2,6.1,5.7,5.3,3.3,2.6,2.5,2.4,1.1,0.1,NA
Sam Bowie,80.1,5.7,4.7,4.6,4.3,2.6,2.4,1.1,0.8,0.5,0.1
Mike Green,79.8,8.7,4.7,3.9,3.8,3.3,2.8,0.4,NA,NA,NA
