Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bryan Warrick,,1,0.5,0.1,0
Nate Hawthorne,87.7,1.1,0.5,0.1,NA
Phil Rollins,86.0,1.1,0.7,0.1,NA
Eddie Hughes,83.8,1,0.4,0,NA
Stan Pietkiewicz,82.8,1,0.6,0,NA
Tarence Kinsey,82.5,0.9,0.6,0,NA
Sundiata Gaines,80.6,1,0.5,-0.1,NA
Craig Ehlo,80.2,1.2,0.5,0.2,0
Kris Dunn,80.1,0.9,0.6,0.1,NA
Mike D'Antoni,79.0,1,0.8,0.3,0
Ronnie Price,79.0,1.1,0.4,0.1,0.1
