Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Bismack Biyombo,,5.9,4,3.2,2.9,2.9,2,1.4,0.6
Wayne Cooper,89.7,5.1,4.1,3.5,2.9,2.9,2.8,1.5,1.2
Andrew Lang,88.0,5.7,4.9,3.7,3,2.9,2.3,1.7,1.4
Mel Counts,87.7,5,4.3,4.2,2.9,2.7,1.9,1.5,1
John Gianelli,87.1,5.5,4.4,3.6,3.2,3,2.5,1.2,-0.4
Greg Ostertag,86.2,5.9,4.2,3.8,3.8,3.4,2.2,2.1,1.4
Eddy Curry,85.9,4.7,4.3,3.5,3.3,3,1.8,1.7,0
Leroy Ellis,85.9,6.4,3.8,3.6,3.2,2.8,2.5,2.3,1.6
Zaza Pachulia,85.9,4.8,3.9,3.9,3.1,2.9,2.7,1.1,0.3
George Johnson,84.7,5,3.6,3.5,3.4,2.6,2.6,2,0.3
Benoit Benjamin,84.4,5.4,5.1,4,3,2.2,2,1.1,0.9
