Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Bismack Biyombo,,5.9,4,3.2,2.9,2.9,2,1.4,0.6,NA,NA,NA,NA,NA
Chris Kaman,88.0,6.1,3.6,3.3,2.9,2.4,2.1,1.6,0.8,0.7,0.6,0.5,0.1,0
John Gianelli,87.1,5.5,4.4,3.6,3.2,3,2.5,1.2,-0.4,NA,NA,NA,NA,NA
Oliver Miller,86.1,5.3,3.8,3.4,3.1,1.8,1.6,1.4,0.9,0,NA,NA,NA,NA
Mikki Moore,86.1,5.7,4.6,2.8,2.6,2.2,2.1,1,0.6,0.6,0.1,0.1,0.1,0.1
Eddy Curry,84.5,4.7,4.3,3.5,3.3,3,1.8,1.7,0,-0.1,-0.1,-0.3,NA,NA
John Henson,83.8,4.9,3.6,3.3,2.7,2.3,1.9,0.6,NA,NA,NA,NA,NA,NA
Ömer Aşık,83.2,5.5,5,2.7,2.6,2.4,1.7,1,-0.1,NA,NA,NA,NA,NA
Otto Moore,82.1,5,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,NA,NA,NA,NA
Randy Breuer,81.5,5.1,4.5,3,2.4,2,1.7,1,0.9,0.3,0.1,0,NA,NA
Blair Rasmussen,81.4,5.2,4.2,3.3,3,1.8,1.7,0,-0.1,NA,NA,NA,NA,NA
