Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Gary Gregor,,1.4,1.1,0.8,0.5,0.5,-0.4
Luke Babbitt,85.2,1.6,1.1,0.7,0.7,0.7,-0.4
Joe Ellis,78.6,1.3,1.3,1,0.5,0.4,-0.3
Henry Walker,76.0,1.9,1.1,0.9,0.5,0.5,NA
Jim Ard,74.6,1,1,0.9,0.6,0.4,-0.4
Hilton Armstrong,74.5,1.5,1.2,0.5,0.5,0.3,-0.1
Cartier Martin,72.9,1.3,0.8,0.7,0.7,0.4,0.1
Chris Crawford,72.0,1.3,0.9,0.6,0.6,0.2,0.1
Anthony Miller,71.2,1.2,1.2,0.8,0.6,0,-0.1
Chris Johnson,70.3,1.4,1.1,0.8,0.2,NA,NA
Darvin Ham,69.4,1.7,1.2,0.9,0.9,0.1,-0.4
