,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,23,PHO,NBA,,12,30,,,,,4,7,,,19,6,,,,6,28
1969-70,24,ATL,NBA,,13,,,,,,5,7,,,,,,,,,29
1970-71,25,POR,NBA,,11,21,,,,,8,9,,,20,5,,,,6,28
1971-72,26,POR,NBA,,12,,,,,,9,9,,,,,,,,,28
1972-73,27,MIL,NBA,,8,,,,,,5,7,,,15,4,,,,3,21
1972-73,27,NYA,ABA,,7,,1,,,,4,5,,,,,,,,,16
1973-74,28,NYA,ABA,,5,,1,,,,4,4,,,,,,,,,14
Career,,,TOT,,13,,,,,,9,9,,,,,,,,,29
,,,NBA,,13,,,,,,9,9,,,,,,,,,29
,,,ABA,,7,,1,,,,4,5,,,,,,,,,16
,,,,,,,,,,,,,,,,,,,,,
2 Seasons,,POR,NBA,,12,,,,,,9,9,,,,,,,,,28
1 Season,,ATL,NBA,,13,,,,,,5,7,,,,,,,,,29
1 Season,,PHO,NBA,,12,30,,,,,4,7,,,19,6,,,,6,28
2 Seasons,,NYA,ABA,,7,,1,,,,4,5,,,,,,,,,16
1 Season,,MIL,NBA,,8,,,,,,5,7,,,15,4,,,,3,21
