Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Gary Gregor,,1.4,1.1,0.8,0.5,0.5,-0.4,NA,NA
Henry Walker,76.0,1.9,1.1,0.9,0.5,0.5,NA,NA,NA
Hilton Armstrong,74.5,1.5,1.2,0.5,0.5,0.3,-0.1,NA,NA
Chris Johnson,70.3,1.4,1.1,0.8,0.2,NA,NA,NA,NA
Marcus Fizer,68.7,1.4,1.1,0.5,0.4,0,-0.7,NA,NA
Anthony Miller,68.3,1.2,1.2,0.8,0.6,0,0,0,-0.1
Cartier Martin,68.0,1.3,0.8,0.7,0.7,0.4,0.1,-0.2,NA
Steve Green,67.9,1.2,1.1,0.7,0.4,NA,NA,NA,NA
Pete Verhoeven,67.4,2.1,1.2,0.8,0.7,0.4,0,NA,NA
Bob Portman,65.8,1.9,1.2,0.8,0.5,NA,NA,NA,NA
Rafael Addison,65.4,1.5,1.5,0.9,0.4,0.4,0.2,NA,NA
