Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Kenny Sailors,,5.2,4.9,3.7,1.7,1.6,NA,NA,NA,NA
Dean Meminger,87.9,5,4.4,3.9,2.2,1,0.2,NA,NA,NA
Ron Brewer,84.6,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,NA
Mitchell Wiggins,83.6,5.4,3.5,3.3,2,1.2,-0.1,NA,NA,NA
Randy Wittman,83.6,5.9,4.2,3.5,1.6,1.2,0.7,0,0,0
Lewis Lloyd,82.8,6.3,4.7,4.6,2.6,1.6,0.1,0,NA,NA
Frank Selvy,81.0,5.5,4.1,3.6,2.4,2.3,0.6,0,-0.6,NA
Charles Dudley,80.9,4.6,4,3.6,1.6,0.2,-0.1,NA,NA,NA
Bob Warren,80.3,4.9,4.8,4,2.3,1.6,1.6,0.9,0.6,NA
Jim Seminoff,79.0,5.4,4.5,3.6,3.4,NA,NA,NA,NA,NA
Jeremy Lamb,78.7,5.3,4.9,3.3,2.7,2.7,1.6,0.2,NA,NA
