Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Kenny Sailors,,5.2,4.9,3.7,1.7,1.6
Larry Steele,94.5,5.7,4.8,3.6,1.9,1.6
Al Attles,94.1,5.3,5.2,3.4,1.9,1.7
Bob Warren,92.7,4.9,4.8,4,2.3,1.6
Isaiah Rider,92.5,5.8,5,3.4,1.9,1.7
Quinn Buckner,90.9,5.4,4.4,3.2,2,1.5
Ron Brewer,89.7,5.6,4.3,3.3,1.6,1.4
Dean Meminger,88.6,5,4.4,3.9,2.2,1
Rodney Stuckey,88.5,5,4.5,3.8,2.7,2
Jrue Holiday,87.6,5.7,4.2,3.3,1.5,1.2
Arron Afflalo,87.5,6.2,5.3,4.3,1.9,1.8
