Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Lonnie Wright,,2.3,2.1,1.7,0.7,-0.9,NA
Brian Roberts,79.2,2.2,2.2,1.8,1,0.2,NA
Tim Frazier,76.6,2.4,2,1.4,1,-0.1,NA
Dennis Hopson,75.2,3.1,2.1,1.7,0.5,-0.3,NA
Dick Garrett,74.1,2.4,2.3,1.6,0.1,-0.2,NA
Norman Powell,73.5,2.8,2.4,1.6,0.6,NA,NA
Hollis Thompson,72.1,2.6,2,1.2,0.7,NA,NA
Leon Wood,71.2,2.2,2,1.9,0.6,0.3,-0.2
Jerry Fleishman,71.0,2.2,2.1,1.6,1.3,0.6,NA
Jonathon Simmons,70.8,2,2,1.9,0.3,NA,NA
Caris LeVert,69.7,2.3,1.8,1.7,NA,NA,NA
