Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,23,DNR,ABA,SG,38,NA,896,5.9,13.9,0.422,0.1,0.4,0.222,5.8,13.5,0.427,3.2,4.9,0.653,NA,NA,3.9,2.7,NA,1.7,3.9,15
1968-69,24,DNR,ABA,SG,69,NA,2538,6.4,15.4,0.416,0.3,1.2,0.221,6.2,14.2,0.433,2.9,3.9,0.743,0.7,3.4,4.1,2.5,NA,2.3,3.5,16
1969-70,25,DNR,ABA,SG,79,NA,2237,6.3,15.3,0.413,0.9,3.1,0.28,5.5,12.2,0.447,1.9,2.8,0.691,0.8,2.7,3.5,2.4,NA,1.6,4.5,15.5
1970-71,26,TOT,ABA,PG-SG,72,NA,1398,5.1,14.4,0.357,0.4,1.9,0.23,4.7,12.5,0.376,2.4,3.4,0.699,1.4,2.5,3.9,3,NA,1.9,4.2,13.1
1970-71,26,DNR,ABA,PG,41,NA,769,4.6,15.4,0.299,0.7,2.6,0.268,3.9,12.7,0.305,2.5,3.6,0.688,1.7,2.5,4.2,2.9,NA,2,4,12.4
1970-71,26,FLO,ABA,SG,31,NA,629,5.8,13.2,0.439,0.1,1,0.111,5.7,12.1,0.467,2.3,3.2,0.714,1.1,2.6,3.7,3.1,NA,1.8,4.3,14
1971-72,27,FLO,ABA,PG,77,NA,1638,5.5,13.2,0.421,0.4,1.6,0.26,5.1,11.6,0.443,2.1,2.6,0.812,1,2.5,3.5,2.9,NA,2,4.3,13.6
Career,NA,,ABA,,335,NA,8707,6,14.7,0.407,0.5,1.8,0.255,5.5,12.9,0.428,2.5,3.4,0.721,0.9,2.8,3.8,2.7,NA,1.9,4.1,14.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,DNR,ABA,,227,NA,6440,6.1,15.2,0.401,0.5,1.9,0.262,5.6,13.3,0.422,2.6,3.6,0.706,0.9,3,3.9,2.5,NA,1.9,4,15.2
2 seasons,NA,FLO,ABA,,108,NA,2267,5.6,13.2,0.426,0.3,1.4,0.231,5.3,11.7,0.45,2.1,2.7,0.78,1,2.5,3.5,3,NA,1.9,4.3,13.7
