Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Lonnie Wright,,2.3,2.1,1.7,0.7,-0.9
Austin Rivers,83.6,2.5,1.9,1.5,0.6,-1.1
Jon Barry,81.1,2.4,2.1,1.8,1.1,-0.1
Avery Bradley,79.3,2.5,2.4,1.8,0.4,-0.5
Brian Roberts,79.2,2.2,2.2,1.8,1,0.2
Fred Hoiberg,78.1,2.3,2.1,1.8,0.2,0
Tim Frazier,76.6,2.4,2,1.4,1,-0.1
Dennis Hopson,75.2,3.1,2.1,1.7,0.5,-0.3
Dick Garrett,74.1,2.4,2.3,1.6,0.1,-0.2
Leon Wood,74.1,2.2,2,1.9,0.3,-0.2
Norman Powell,73.5,2.8,2.4,1.6,0.6,NA
