,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,23,DNR,ABA,,10,,2,,,,7,9,,,,,,,,25
1968-69,24,DNR,ABA,,17,,4,,,,10,13,,,,,,,,37
1969-70,25,DNR,ABA,,11,,4,,,,6,9,,,,,,,,26
1970-71,26,TOT,ABA,,11,,4,,,,7,9,,,,,,,,26
1970-71,26,DNR,ABA,,8,,4,,,,7,9,,,,,,,,21
1970-71,26,FLO,ABA,,11,,1,,,,6,9,,,,,,,,26
1971-72,27,FLO,ABA,,10,,3,,,,7,7,,,,,,,,27
Career,,,,,17,,4,,,,10,13,,,,,,,,37
4 Seasons,,DNR,ABA,,17,,4,,,,10,13,,,,,,,,37
2 Seasons,,FLO,ABA,,11,,3,,,,7,9,,,,,,,,27
