Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,23,DNR,ABA,SG,38,896,13,0.467,0.026,0.35,NA,NA,5,11.4,NA,9.7,19,NA,0.6,1.1,1.7,0.091
1968-69,24,DNR,ABA,SG,69,2538,11.4,0.467,0.079,0.253,NA,NA,5.2,9.5,NA,11.7,20.2,NA,0.3,1.8,2.1,0.041
1969-70,25,DNR,ABA,SG,79,2237,10.6,0.467,0.203,0.184,NA,NA,4.2,9,NA,8.6,18.7,NA,0,2.2,2.3,0.049
1970-71,26,TOT,ABA,PG-SG,72,1398,7,0.412,0.133,0.238,NA,NA,4.9,10.7,NA,10.8,17.8,NA,-1.8,0.9,-0.9,-0.031
1970-71,26,DNR,ABA,PG,41,769,4.9,0.365,0.171,0.235,NA,NA,5,9.7,NA,10.6,18.4,NA,-1.9,0.6,-1.3,-0.083
1970-71,26,FLO,ABA,SG,31,629,9.6,0.479,0.078,0.243,NA,NA,4.8,11.8,NA,11.2,17,NA,0.1,0.3,0.4,0.032
1971-72,27,FLO,ABA,PG,77,1638,8.6,0.475,0.122,0.195,2.6,6.8,4.7,11.3,NA,12,17.5,NA,-0.1,0.8,0.7,0.022
Career,NA,,ABA,,335,8707,10.1,0.46,0.123,0.232,2.6,6.8,4.8,10.1,NA,10.6,18.8,NA,-0.9,6.9,5.9,0.033
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,DNR,ABA,,227,6440,10.6,0.455,0.127,0.239,NA,NA,4.8,9.6,NA,10.3,19.3,NA,-0.9,5.7,4.8,0.035
2 seasons,NA,FLO,ABA,,108,2267,8.9,0.476,0.11,0.209,2.6,6.8,4.7,11.5,NA,11.8,17.3,NA,0,1.2,1.2,0.025
