,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,23,DNR,ABA,,8,,1,,,,6,8,,,,,,,,17
1968-69,24,DNR,ABA,,10,,1,,,,7,9,,,,,,,,23
1969-70,25,DNR,ABA,,6,,1,,,,4,4,,,,,,,,16
1970-71,26,TOT,ABA,,5,,1,,,,4,4,,,,,,,,11
1970-71,26,FLO,ABA,,5,,1,,,,4,4,,,,,,,,11
1971-72,27,FLO,ABA,,8,,0,,,,2,2,,,,,,,,18
Career,,,,,10,,1,,,,7,9,,,,,,,,23
3 Seasons,,DNR,ABA,,10,,1,,,,7,9,,,,,,,,23
2 Seasons,,FLO,ABA,,8,,1,,,,4,4,,,,,,,,18
