Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,23,DNR,ABA,SG,38,NA,23.6,3.8,9.1,0.422,0.1,0.2,0.222,3.8,8.9,0.427,0.425,2.1,3.2,0.653,NA,NA,2.5,1.8,NA,1.1,2.5,9.8
1968-69,24,DNR,ABA,SG,69,NA,36.8,6.6,15.8,0.416,0.3,1.2,0.221,6.3,14.5,0.433,0.425,3,4,0.743,0.7,3.5,4.2,2.5,NA,2.3,3.6,16.4
1969-70,25,DNR,ABA,SG,79,NA,28.3,5,12.1,0.413,0.7,2.4,0.28,4.3,9.6,0.447,0.441,1.5,2.2,0.691,0.6,2.1,2.7,1.9,NA,1.2,3.5,12.2
1970-71,26,TOT,ABA,PG-SG,72,NA,19.4,2.8,7.8,0.357,0.2,1,0.23,2.5,6.7,0.376,0.372,1.3,1.8,0.699,0.8,1.4,2.1,1.6,NA,1,2.3,7.1
1970-71,26,DNR,ABA,PG,41,NA,18.8,2.4,8,0.299,0.4,1.4,0.268,2,6.6,0.305,0.322,1.3,1.9,0.688,0.9,1.3,2.2,1.5,NA,1,2.1,6.4
1970-71,26,FLO,ABA,SG,31,NA,20.3,3.3,7.4,0.439,0.1,0.6,0.111,3.2,6.8,0.467,0.443,1.3,1.8,0.714,0.6,1.5,2.1,1.8,NA,1,2.5,7.9
1971-72,27,FLO,ABA,PG,77,NA,21.3,3.3,7.8,0.421,0.2,0.9,0.26,3,6.8,0.443,0.437,1.2,1.5,0.812,0.6,1.5,2.1,1.7,NA,1.2,2.6,8
Career,NA,,ABA,,335,NA,26,4.3,10.6,0.407,0.3,1.3,0.255,4,9.3,0.428,0.423,1.8,2.5,0.721,0.7,2.1,2.7,1.9,NA,1.4,2.9,10.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,DNR,ABA,,227,NA,28.4,4.8,12,0.401,0.4,1.5,0.262,4.4,10.4,0.422,0.418,2,2.9,0.706,0.7,2.4,3,2,NA,1.5,3.1,12
2 seasons,NA,FLO,ABA,,108,NA,21,3.3,7.7,0.426,0.2,0.8,0.231,3.1,6.8,0.45,0.438,1.3,1.6,0.78,0.6,1.5,2.1,1.7,NA,1.1,2.5,8
