,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1969-70,23,TOT,ABA,,5,,1,,,,6,8,,,,,,,,15
1969-70,23,KEN,ABA,,5,,1,,,,6,8,,,,,,,,15
1971-72,25,FLO,ABA,,2,,0,,,,0,0,,,,,,,,4
Career,,,,,5,,1,,,,6,8,,,,,,,,15
1 Season,,KEN,ABA,,5,,1,,,,6,8,,,,,,,,15
1 Season,,FLO,ABA,,2,,0,,,,0,0,,,,,,,,4
