Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1969-70,23,TOT,ABA,SF,82,,17.6,2.1,5.0,.430,0.0,0.1,.125,2.1,4.9,.436,.431,2.0,2.7,.743,1.8,2.2,4.0,0.9,,1.2,2.3,6.3
1969-70,23,WSA,ABA,SF,5,,5.4,0.4,1.4,.286,0.0,0.0,,0.4,1.4,.286,.286,0.6,0.8,.750,0.2,0.6,0.8,0.0,,0.6,0.6,1.4
1969-70,23,KEN,ABA,SF,77,,18.4,2.2,5.2,.433,0.0,0.1,.125,2.2,5.1,.439,.434,2.1,2.8,.743,1.9,2.3,4.2,1.0,,1.2,2.5,6.6
1970-71,24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1971-72,25,FLO,ABA,SF,51,,8.2,1.4,3.4,.402,0.1,0.4,.227,1.3,3.0,.428,.417,0.9,1.2,.742,0.6,0.6,1.2,0.7,,0.5,1.5,3.7
Career,NA,,ABA,,133,,14.0,1.8,4.4,.422,0.0,0.2,.200,1.8,4.1,.434,.427,1.6,2.1,.743,1.3,1.6,2.9,0.9,,0.9,2.0,5.3
,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,NA,KEN,ABA,,77,,18.4,2.2,5.2,.433,0.0,0.1,.125,2.2,5.1,.439,.434,2.1,2.8,.743,1.9,2.3,4.2,1.0,,1.2,2.5,6.6
1 season,NA,FLO,ABA,,51,,8.2,1.4,3.4,.402,0.1,0.4,.227,1.3,3.0,.428,.417,0.9,1.2,.742,0.6,0.6,1.2,0.7,,0.5,1.5,3.7
1 season,NA,WSA,ABA,,5,,5.4,0.4,1.4,.286,0.0,0.0,,0.4,1.4,.286,.286,0.6,0.8,.750,0.2,0.6,0.8,0.0,,0.6,0.6,1.4
