Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
John Brown,,4.2,3.7,2.6,2.3,1.7,1.7,0.1
Andrea Bargnani,94.9,4.2,3.9,2.5,2.2,1.9,1.4,0.1
Jeff Cook,90.4,4.5,3.7,2.4,2.3,2.2,2,0.6
Derek Strong,89.9,4.4,4.1,2.4,2.1,1.9,1.5,0
Charles Jones,89.5,3.8,3.2,2.8,2.2,2.2,1.6,0
Glen Davis,89.4,4.9,3.7,2.5,2,1.7,1.6,0.8
Danny Vranes,88.7,4.2,3.4,2.4,2.1,1.8,0.8,0.6
James Jones,88.5,4,3.7,2.5,2.2,1,0.9,0
Scott Williams,88.4,3.9,3.1,2.6,2.3,1.7,0.9,0.3
David Benoit,88.0,4.6,3.9,2.3,2,1.6,1.6,0.7
Mike O'Koren,87.3,4.1,3.8,2,1.9,1.5,1.2,-0.1
