Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
John Brown,,4.2,3.7,2.6,2.3,1.7,1.7,0.1,NA,NA,NA
Jeff Cook,89.9,4.5,3.7,2.4,2.3,2.2,2,0.6,0.1,NA,NA
Danny Vranes,88.7,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA,NA,NA
David Benoit,88.0,4.6,3.9,2.3,2,1.6,1.6,0.7,NA,NA,NA
Mike O'Koren,87.8,4.1,3.8,2,1.9,1.5,1.2,0.1,-0.1,NA,NA
Nick Weatherspoon,87.2,3.7,3.6,2.6,2.4,2.1,0.6,0.1,NA,NA,NA
Howard Porter,86.5,4.1,3.9,2.7,2.4,2.4,1.1,1,NA,NA,NA
Kenny Walker,86.0,4.7,4,3.1,2.7,1.9,1.3,0.1,NA,NA,NA
Derrick Williams,85.4,3.6,3,2.6,2.1,1.8,1.1,0,NA,NA,NA
Andrea Bargnani,85.0,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1
Craig Smith,84.0,3.9,3.5,3.1,3,1.5,1,NA,NA,NA,NA
