Season,Team,Lg,Salary
2008-09,Charlotte Bobcats,NBA,"$200,252"
2009-10,Golden State Warriors,NBA,"$86,638"
2010-11,Washington Wizards,NBA,"$854,389"
2012-13,Washington Wizards,NBA,"$915,852"
2014-15,Detroit Pistons,NBA,"$1,145,685"
2015-16,Detroit Pistons,NBA,"$1,270,964"
Career,(may be incomplete),,"$4,473,780"
