Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Cartier Martin,,1.3,0.8,0.7,0.7,0.4,0.1,-0.2
Jarell Martin,74.9,1.3,0.8,0.6,0.5,NA,NA,NA
Yi Jianlian,72.7,1.3,0.7,0.7,0.4,0,NA,NA
Greg Foster,72.6,1,1,0.6,0.6,0.5,0.2,0
Anthony Miller,71.8,1.2,1.2,0.8,0.6,0,0,-0.1
Loren Woods,71.3,1.1,0.7,0.5,0.4,0.4,0.1,NA
Julian Wright,71.1,1.7,0.8,0.8,0.6,NA,NA,NA
Gary Gregor,68.0,1.4,1.1,0.8,0.5,0.5,-0.4,NA
Ray Tolbert,67.6,1.1,0.8,0.7,0.3,0,NA,NA
Steve Green,66.7,1.2,1.1,0.7,0.4,NA,NA,NA
Joe Ellis,66.6,1.3,1.3,1.1,1,0.5,0.4,-0.3
