Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Kenyon Martin,,7.1,6.7,5.3,5,4.9,4,3.8,3.3,2.7,2.1,1.2,1.2,0.9,0.2,0
Junior Bridgeman,93.7,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8,0.6,NA,NA,NA
Thurl Bailey,92.5,6.8,6.5,5.4,4.6,4,3.7,3.6,3.1,2.6,2.6,1.2,0.9,NA,NA,NA
Caron Butler,92.5,7.2,6.3,5.3,5.3,5.1,4.5,3.6,3.5,2.4,2.3,2.1,1.8,1.2,0.3,NA
Jeff Foster,89.0,8.3,6.5,5.7,5.4,4.5,4.2,4.2,3,2.7,1.6,0.6,0.4,0.4,NA,NA
Orlando Woolridge,89.0,9,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,2.3,1.8,1.5,0.8,NA,NA
Ersan İlyasova,88.5,6.7,6.4,5.8,4.4,4.1,4,4,3.8,3,1.6,1,NA,NA,NA,NA
Larry Smith,88.1,6.1,5.4,5.2,4.7,4.4,4.3,4,3.7,3.1,2.6,1.2,1.2,0.3,NA,NA
Bruce Bowen,87.9,6.2,6.1,5.4,5.1,4.4,4.2,4.1,2.2,2.2,1.9,1.2,0,0,NA,NA
John Salley,87.8,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5,0.6,0.5,NA,NA,NA,NA
Cliff Levingston,87.3,7,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2,1.3,0.5,NA,NA,NA,NA
