Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Anthony Roberts,,1.9,1.7,0.1,-0.2,-0.2
Jon Brockman,85.7,1.9,1.7,0.1,NA,NA
Jayson Williams,83.9,2.1,1.8,0.2,0.1,-0.3
Jonathan Bender,82.2,2,1.7,0.5,-0.1,-0.2
Dorell Wright,78.8,2.2,1.9,0.2,-0.1,-0.1
Joe Holup,76.7,2.1,1.8,0.3,NA,NA
Rudy Macklin,72.1,1.8,1.4,0.1,NA,NA
Tariq Abdul-Wahad,71.4,2.2,1.4,0,-0.2,-0.4
Jim Palmer,70.8,2.4,1.9,0.2,NA,NA
Bill Hewitt,70.7,2.4,1.7,0.6,-0.1,-0.2
Sam Pellom,70.0,2.2,1.8,0.7,0,NA
