Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Anthony Roberts,,1.9,1.7,0.1,-0.2,-0.2
Jon Brockman,85.7,1.9,1.7,0.1,NA,NA
Joe Holup,76.7,2.1,1.8,0.3,NA,NA
Rudy Macklin,72.1,1.8,1.4,0.1,NA,NA
Jim Palmer,70.8,2.4,1.9,0.2,NA,NA
Sam Pellom,70.0,2.2,1.8,0.7,0,NA
Kenny Battle,69.6,1.9,1.3,0.3,0.1,NA
Donnell Harvey,67.0,2,1.8,0.7,0.2,0.1
Andrew Nicholson,65.9,1.7,1.6,0.6,0.1,-0.1
Alaa Abdelnaby,64.8,2.1,2,0.5,0.3,-0.1
Jim Bradley,64.8,2.3,1.3,0.1,NA,NA
