Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Clint Richardson,,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1,NA,NA,NA,NA
Dudley Bradley,91.0,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1,0,NA,NA,NA
John Battle,87.6,4,3.2,2.3,2,1.7,1.5,1.4,1,0.5,0.2,NA,NA
Steve Colter,86.7,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3,NA,NA,NA,NA
Jim King,85.7,3.7,3.5,2.5,2.3,1.5,1.5,1.3,1.1,0.4,-0.1,NA,NA
Fatty Taylor,85.3,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4,NA,NA,NA,NA
Nick Young,85.3,3.2,2.8,2.5,2.3,1.9,1.7,1.4,1.2,1.2,0.4,0.1,0
Jacque Vaughn,84.5,3.5,3,2,1.8,1.7,1.6,1.5,0.4,0.1,0.1,0,-0.4
Rod Thorn,83.8,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,NA,NA,NA,NA
Sasha Vujačić,83.8,3.7,3.6,2.1,2,1.8,1.4,1.1,0.2,0.1,-0.1,NA,NA
Jerryd Bayless,83.0,4,2.7,2.4,2.4,2.4,2,1.6,1.1,0.3,0,-0.1,NA
