Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Clint Richardson,,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1
Dudley Bradley,91.1,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1
John Battle,89.0,4,3.2,2.3,2,1.7,1.5,1,0.5
Steve Colter,86.7,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3
Fatty Taylor,85.3,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4
Earl Watson,84.0,2.9,2.7,2.3,2.3,2,1.8,1.5,-0.2
Rod Thorn,83.8,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1
Evan Turner,83.4,4,2.6,2.5,2.4,2.3,2.1,1.4,1.2
Marquis Daniels,83.1,4.2,3.2,2.5,2,1.3,1.3,0.9,0.6
Gerald Henderson,82.9,3.6,3.6,3.3,2.4,2,2,1,0.4
Mike McGee,81.4,3.2,3,2.8,2.3,1.9,1.1,0.2,0.2
