Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,23,MMF,ABA,PF,64,NA,1138,153,396,0.386,0,0,NA,153,396,0.386,0.386,113,165,0.685,138,149,287,43,70,171,419
1969-70,24,MMF,ABA,PF,3,NA,52,7,18,0.389,0,0,NA,7,18,0.389,0.389,5,6,0.833,9,7,16,2,4,7,19
Career,NA,,ABA,,67,NA,1190,160,414,0.386,0,0,NA,160,414,0.386,0.386,118,171,0.69,147,156,303,45,74,178,438
