Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
DeMarre Carroll,,7,5.8,4.1,3.8,3.1,3.1,1.2,0.5,0.5,0.1,NA
Mel Hutchins,90.0,6.9,5.8,4.4,3.9,3.8,2.8,0.3,NA,NA,NA,NA
Bob Gross,88.9,7.4,7.1,4.4,3.8,3.1,2.9,1.7,0.2,NA,NA,NA
Jae Crowder,87.2,7.3,6.7,4.4,3.9,2.6,2.3,1.5,NA,NA,NA,NA
Harrison Barnes,85.3,6.7,4.9,4.6,3.8,3.6,3.2,2.8,NA,NA,NA,NA
Kenny Carr,85.0,6.7,5.8,5.1,3.8,3.1,2.9,2.9,2.1,1.1,0,NA
M.L. Carr,84.3,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8,0.4,0.4,NA
Billy Owens,84.2,5.7,5.6,3.7,3.2,3.2,2.8,2.2,1.2,0.8,0.2,NA
Walter Simon,83.6,6.1,4.8,4.5,4.1,3.4,2.7,2,NA,NA,NA,NA
Jay Vincent,83.6,6.5,6,5.6,3.4,2.8,1.9,1.1,0.5,-0.3,NA,NA
Chuck Hayes,82.9,6.4,6.3,4.4,3.6,2.4,1.6,1.5,1.4,0.6,0.5,0
