Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
DeMarre Carroll,,7,5.8,4.1,3.8,3.1,3.1,1.2,0.5,0.5,0.1
Matt Barnes,90.2,6.3,5.9,4.3,3.7,3,3,2.3,1,0.7,0.4
Mel Hutchins,90.0,6.9,5.8,4.4,3.9,3.8,2.8,0.3,NA,NA,NA
Bob Gross,88.9,7.4,7.1,4.4,3.8,3.1,2.9,1.7,0.2,NA,NA
Jae Crowder,87.2,7.3,6.7,4.4,3.9,2.6,2.3,1.5,NA,NA,NA
George Lynch,86.7,6.5,5.8,3.9,3.5,2.6,2.5,1.7,1.5,0.9,0.7
Al Harrington,85.4,5.9,5.4,4.3,3.9,3.8,2.6,1.6,1.2,1,-0.2
Harrison Barnes,85.3,6.7,4.9,4.6,3.8,3.6,3.2,2.8,NA,NA,NA
Kenny Carr,85.0,6.7,5.8,5.1,3.8,3.1,2.9,2.9,2.1,1.1,0
M.L. Carr,84.3,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8,0.4,0.4
Billy Owens,84.2,5.7,5.6,3.7,3.2,3.2,2.8,2.2,1.2,0.8,0.2
