Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Steve Hayes,,1.2,0.9,0.3,0.3,0.2,NA,NA,NA,NA,NA
Eric Fernsten,86.3,1.2,1,0.5,0.5,0.2,0,NA,NA,NA,NA
Žan Tabak,80.1,1.1,0.9,0.2,0.1,0.1,0,NA,NA,NA,NA
Earl Williams,74.0,1.3,1,0.4,0,NA,NA,NA,NA,NA,NA
Roger Brown,73.1,0.9,0.7,0.4,0.2,0.1,NA,NA,NA,NA,NA
Rich Johnson,73.0,1.2,0.9,0.1,NA,NA,NA,NA,NA,NA,NA
Robert Sacre,69.3,1.4,0.8,0.3,-0.1,NA,NA,NA,NA,NA,NA
Mark McNamara,68.5,1.2,0.7,0.6,0.4,0.1,0,0,-0.2,NA,NA
Hank Beenders,66.5,1.1,0.9,-0.1,NA,NA,NA,NA,NA,NA,NA
Gene Tormohlen,62.4,1.4,0.8,0.1,0,0,0,NA,NA,NA,NA
Jawann Oldham,60.7,1.3,1.2,1,0.5,0.3,0,0,0,0,0
