Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Steve Hayes,,1.2,0.9,0.3,0.3,0.2
Earl Williams,74.0,1.3,1,0.4,0,NA
Roger Brown,73.1,0.9,0.7,0.4,0.2,0.1
Rich Johnson,73.0,1.2,0.9,0.1,NA,NA
Connie Dierking,71.8,1.4,0.7,0.5,0.5,0.1
Eric Fernsten,69.4,1.2,0.5,0.5,0.2,0
Robert Sacre,69.3,1.4,0.8,0.3,-0.1,NA
Johan Petro,67.4,1.7,1,0.8,0.4,0.2
Hank Beenders,66.5,1.1,0.9,-0.1,NA,NA
Mark McNamara,63.5,1.2,0.6,0.4,0,-0.2
Bill Wennington,63.0,1.3,1.2,0.9,0.5,0.4
