Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Dion Glover,,2.6,1.1,0.9,0.8,0.3,0.2,NA,NA,NA
Glenn Robinson,81.8,2.5,0.8,0.7,0.6,0.1,NA,NA,NA,NA
Mike Davis,79.1,2.2,1.2,0.9,0.6,NA,NA,NA,NA,NA
Bo Lamar,78.7,2.5,1.5,1,0.5,NA,NA,NA,NA,NA
Ben McLemore,78.1,2.5,0.8,0.5,0.4,0.3,0.2,NA,NA,NA
A.J. Price,77.8,2.2,1.2,0.7,0.3,0.3,0,NA,NA,NA
Robert Smith,76.3,2.9,1.4,0.8,0.6,0,0,0,NA,NA
Chris Douglas-Roberts,74.9,2.4,1.6,0.7,0.6,0.1,0,NA,NA,NA
Pete Myers,74.9,3,1.3,0.6,0.5,0.3,0.1,0,0,-0.1
Mike Barr,74.8,2.7,1.7,1.4,0.7,0.4,NA,NA,NA,NA
Raul Neto,74.7,1.8,1.1,0.9,0.7,NA,NA,NA,NA,NA
