Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Thon Maker,,2,1.5,1.3,NA,NA,NA
Taurean Waller-Prince,93.0,2,1.5,1.1,NA,NA,NA
Cliff Pondexter,87.3,2.2,1.5,1,NA,NA,NA
Russ Schoene,84.4,1.8,1.7,1.3,-0.2,NA,NA
Derrick Brown,83.0,2.3,1.3,1,NA,NA,NA
Terry Driscoll,82.5,1.7,1.7,1.5,0.3,0,NA
Charles Pittman,80.1,1.7,1.5,0.9,0.1,NA,NA
Austin Daye,79.5,2.1,1.6,1.3,0.1,0,-0.6
Johnny Baum,79.2,2,1.9,1.5,0.4,-0.1,NA
Jan Veselý,77.5,1.7,1.6,0.7,NA,NA,NA
Bob Brannum,77.1,2,1.6,1.1,0.8,0,NA
