Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Bill Bradley,,7,5.4,5.4,4.9,4.7,4.2,2.8,2.5,1.1,0.8
Jim Washington,95.9,6.7,5.5,5.4,4.9,4.7,4.3,3.6,2.4,1.3,0.5
Tom Gugliotta,92.2,6.7,5.4,5.3,5.2,5,3.8,3.5,1.8,1.6,0.9
Amir Johnson,91.8,7.3,6.3,5.6,5.1,4.5,4,3,2.7,0.5,0.2
Jerome Williams,91.3,7.6,5.4,5,4.8,4.5,4.3,3.5,2.6,0.2,NA
Terry Tyler,91.1,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9,1.2
Juwan Howard,90.1,7,6,5.6,4.9,4.6,4.4,3.6,2.8,2.8,1.9
Gus Johnson,90.0,7.2,5.9,5.3,5.1,5,3.5,2.2,1.6,0.9,0.1
Jeff Green,89.8,6.6,5.2,4.8,4.7,4.2,3.9,3.3,3.1,0.7,0.2
Caron Butler,89.5,7.2,6.3,5.3,5.3,5.1,4.5,3.5,2.3,2.1,1.2
Cliff Levingston,89.5,7,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2,1.3
