Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1972-73,29,NYK,NBA,SF,1,0,12:00,2,5,0.4,0,0,NA,NA,1,0,NA,NA,2,4
Career,NA,,NBA,,1,0,12,2,5,0.4,0,0,NA,NA,1,0,NA,NA,2,4
