Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1967-68,24,NYK,NBA,SF,45,874,11.7,0.465,0.305,NA,NA,NA,20.5,NA,NA,NA,0.2,0.8,1.1,0.058,NA,NA,NA,NA,NA
1968-69,25,NYK,NBA,SF,82,2413,13.1,0.481,0.267,NA,NA,NA,16.9,NA,NA,NA,1.9,2.7,4.7,0.093,NA,NA,NA,NA,NA
1969-70,26,NYK,NBA,SF,67,2098,13.7,0.498,0.196,NA,NA,NA,16.7,NA,NA,NA,1.6,3.3,4.9,0.112,NA,NA,NA,NA,NA
1970-71,27,NYK,NBA,SF,78,2300,13.3,0.49,0.192,NA,NA,5.2,16.5,NA,NA,NA,1.8,3.6,5.4,0.114,NA,NA,NA,NA,NA
1971-72,28,NYK,NBA,SF,78,2780,12.9,0.502,0.183,NA,NA,4.4,16,NA,NA,NA,2.7,2.8,5.4,0.094,NA,NA,NA,NA,NA
1972-73,29,NYK,NBA,SF,82,2998,13.8,0.493,0.155,NA,NA,5,16.8,NA,NA,NA,2.9,4.1,7,0.112,NA,NA,NA,NA,NA
1973-74,30,NYK,NBA,SF,82,2813,11.1,0.485,0.15,2.2,7.2,4.7,12.3,0.7,0.4,NA,1.6,2.6,4.2,0.071,NA,-1.5,-0.6,-2.1,-0.1
1974-75,31,NYK,NBA,SF,79,2787,11.1,0.473,0.159,2.4,7.1,4.7,12.9,1.2,0.3,NA,1.4,1.4,2.8,0.048,NA,-1.6,-0.7,-2.3,-0.2
1975-76,32,NYK,NBA,SF,82,2709,10.2,0.471,0.163,1.8,7.2,4.4,12.6,1.2,0.4,NA,1,1.5,2.5,0.044,NA,-1.8,-0.4,-2.2,-0.1
1976-77,33,NYK,NBA,SF,67,1027,9.5,0.492,0.153,2.8,7.6,5.3,15.5,1.1,0.4,NA,0.3,0.5,0.8,0.038,NA,-2.1,-0.3,-2.4,-0.1
Career,NA,,NBA,,742,22799,12.2,0.486,0.185,2.2,7.2,4.8,15.2,1,0.4,NA,15.4,23.4,38.8,0.082,NA,-1.7,-0.5,-2.2,-0.5
